"","trial","choicesA","choicesB","winA","winB","rateA","learningRate","noise","initRateA","cumulativeRateA","cumulativeRateB","cumulativeWinA","cumulativeWinB","agent_id"
"84",84,0,0,1,0,0.656336508590748,0.206159383291379,0,0.5,0.69047619047619,0.738095238095238,0.642857142857143,0.357142857142857,1
"85",85,1,1,1,0,0.521026578748063,0.206159383291379,0,0.5,0.694117647058824,0.741176470588235,0.647058823529412,0.352941176470588,1
"86",86,1,1,1,0,0.619771443886324,0.206159383291379,0,0.5,0.697674418604651,0.744186046511628,0.651162790697674,0.348837209302326,1
"87",87,0,1,0,1,0.698159128524491,0.206159383291379,0,0.5,0.689655172413793,0.747126436781609,0.64367816091954,0.35632183908046,1
"88",88,1,1,1,0,0.760386456440014,0.206159383291379,0,0.5,0.693181818181818,0.75,0.647727272727273,0.352272727272727,1
"89",89,1,1,1,0,0.809785036808603,0.206159383291379,0,0.5,0.696629213483146,0.752808988764045,0.651685393258427,0.348314606741573,1
"90",90,1,1,1,0,0.848999636312933,0.206159383291379,0,0.5,0.7,0.755555555555556,0.655555555555556,0.344444444444444,1
"91",91,1,0,0,1,0.880129778167433,0.206159383291379,0,0.5,0.703296703296703,0.747252747252747,0.648351648351648,0.351648351648352,1
"92",92,1,1,1,0,0.698682765884057,0.206159383291379,0,0.5,0.706521739130435,0.75,0.652173913043478,0.347826086956522,1
"93",93,1,1,1,0,0.760802141044464,0.206159383291379,0,0.5,0.709677419354839,0.752688172043011,0.655913978494624,0.344086021505376,1
"94",94,1,1,1,0,0.810115024131355,0.206159383291379,0,0.5,0.712765957446808,0.75531914893617,0.659574468085106,0.340425531914894,1
"95",95,1,1,1,0,0.849261593652733,0.206159383291379,0,0.5,0.715789473684211,0.757894736842105,0.663157894736842,0.336842105263158,1
"96",96,1,1,1,0,0.880337730543611,0.206159383291379,0,0.5,0.71875,0.760416666666667,0.666666666666667,0.333333333333333,1
"97",97,1,1,1,0,0.905007230217987,0.206159383291379,0,0.5,0.721649484536082,0.762886597938144,0.670103092783505,0.329896907216495,1
"98",98,1,1,1,0,0.924590881053387,0.206159383291379,0,0.5,0.724489795918367,0.76530612244898,0.673469387755102,0.326530612244898,1
"99",99,1,1,1,0,0.940137178509967,0.206159383291379,0,0.5,0.727272727272727,0.767676767676768,0.676767676767677,0.323232323232323,1
"100",100,1,0,0,1,0.952478460870434,0.206159383291379,0,0.5,0.73,0.76,0.67,0.33,1
"101",101,0,1,0,1,0.756116088779064,0.206159383291379,0,0.5,0.722772277227723,0.762376237623762,0.663366336633663,0.336633663366337,1
"102",102,0,1,0,1,0.806395045511061,0.206159383291379,0,0.5,0.715686274509804,0.764705882352941,0.656862745098039,0.343137254901961,1
"103",103,1,1,1,0,0.846308523530656,0.206159383291379,0,0.5,0.718446601941748,0.766990291262136,0.660194174757282,0.339805825242718,1
"104",104,1,1,1,0,0.877993463536718,0.206159383291379,0,0.5,0.721153846153846,0.769230769230769,0.663461538461538,0.336538461538462,1
"105",105,1,1,1,0,0.903146255851505,0.206159383291379,0,0.5,0.723809523809524,0.771428571428571,0.666666666666667,0.333333333333333,1
"106",106,1,1,1,0,0.92311356401462,0.206159383291379,0,0.5,0.726415094339623,0.773584905660377,0.669811320754717,0.330188679245283,1
"107",107,1,0,0,1,0.938964424240838,0.206159383291379,0,0.5,0.728971962616822,0.766355140186916,0.663551401869159,0.336448598130841,1
"108",108,1,1,1,0,0.745388097606802,0.206159383291379,0,0.5,0.731481481481482,0.768518518518518,0.666666666666667,0.333333333333333,1
"109",109,0,1,0,1,0.797878730382829,0.206159383291379,0,0.5,0.724770642201835,0.770642201834862,0.660550458715596,0.339449541284404,1
"110",110,1,1,1,0,0.839547926677175,0.206159383291379,0,0.5,0.727272727272727,0.772727272727273,0.663636363636364,0.336363636363636,1
"111",111,1,0,0,1,0.872626627161232,0.206159383291379,0,0.5,0.72972972972973,0.765765765765766,0.657657657657658,0.342342342342342,1
"112",112,0,1,0,1,0.692726459862036,0.206159383291379,0,0.5,0.723214285714286,0.767857142857143,0.651785714285714,0.348214285714286,1
"113",113,1,1,1,0,0.756073783398638,0.206159383291379,0,0.5,0.725663716814159,0.769911504424779,0.654867256637168,0.345132743362832,1
"114",114,1,1,1,0,0.806361461781774,0.206159383291379,0,0.5,0.728070175438597,0.771929824561403,0.657894736842105,0.342105263157895,1
"115",115,1,1,1,0,0.846281863402287,0.206159383291379,0,0.5,0.730434782608696,0.773913043478261,0.660869565217391,0.339130434782609,1
