"condition","subject","session","cycle","trial","test","stimulus","category","response","dangerous","nutricious","correct","cumulative","RT","motivation","competence","communication","complement","mean_correct"
1,2,1,2,41,0,"00111.jpg",2,2,0,1,1,2500,3689,3,3.5,2.5,1.5,0.84
1,2,1,2,42,0,"01111.jpg",2,2,0,1,1,2600,2877,3,3.5,2.5,1.5,0.84
1,2,1,2,43,0,"11100.jpg",3,3,1,0,1,2700,5683,3,3.5,2.5,1.5,0.76
1,2,1,2,44,0,"01000.jpg",1,1,0,0,1,2800,4057,3,3.5,2.5,1.5,0.84
1,2,1,2,45,0,"00011.jpg",2,2,0,1,1,2900,2744,3,3.5,2.5,1.5,0.72
1,2,1,2,46,0,"01001.jpg",1,1,0,0,1,3000,2627,3,3.5,2.5,1.5,0.88
1,2,1,2,47,0,"11010.jpg",2,2,0,1,1,3100,3442,3,3.5,2.5,1.5,0.8
1,2,1,2,48,0,"11101.jpg",3,3,1,0,1,3200,4387,3,3.5,2.5,1.5,0.88
1,2,1,2,49,0,"00010.jpg",2,2,0,1,1,3300,2283,3,3.5,2.5,1.5,0.92
1,2,1,2,50,0,"01001.jpg",1,1,0,0,1,3400,4128,3,3.5,2.5,1.5,0.88
1,2,1,2,51,0,"11000.jpg",1,1,0,0,1,3500,5245,3,3.5,2.5,1.5,0.8
1,2,1,2,52,0,"11011.jpg",2,2,0,1,1,3600,2764,3,3.5,2.5,1.5,0.76
1,2,1,2,53,0,"10000.jpg",1,1,0,0,1,3700,3655,3,3.5,2.5,1.5,0.84
1,2,1,2,54,0,"10111.jpg",4,4,1,1,1,3800,7373,3,3.5,2.5,1.5,0.88
1,2,1,2,55,0,"01111.jpg",2,2,0,1,1,3900,3134,3,3.5,2.5,1.5,0.88
1,2,1,2,56,0,"11101.jpg",3,3,1,0,1,4000,2657,3,3.5,2.5,1.5,0.8
1,2,1,2,57,0,"11011.jpg",2,2,0,1,1,4100,2975,3,3.5,2.5,1.5,0.8
1,2,1,2,58,0,"10011.jpg",2,2,0,1,1,4200,2546,3,3.5,2.5,1.5,0.8
1,2,1,2,59,0,"10110.jpg",4,4,1,1,1,4300,3108,3,3.5,2.5,1.5,0.88
1,2,1,2,60,0,"11010.jpg",2,2,0,1,1,4400,1759,3,3.5,2.5,1.5,0.68
1,2,1,2,61,0,"11001.jpg",1,1,0,0,1,4500,8283,3,3.5,2.5,1.5,0.92
1,2,1,2,62,0,"01011.jpg",2,2,0,1,1,4600,2191,3,3.5,2.5,1.5,0.76
1,2,1,2,63,0,"01101.jpg",1,1,0,0,1,4700,3066,3,3.5,2.5,1.5,0.96
1,2,1,2,64,0,"01110.jpg",2,2,0,1,1,4800,3430,3,3.5,2.5,1.5,0.88
1,2,1,3,65,0,"00000.jpg",1,1,0,0,1,4900,5767,3,3.5,2.5,1.5,0.92
1,2,1,3,66,0,"10000.jpg",1,1,0,0,1,5000,2944,3,3.5,2.5,1.5,0.88
1,2,1,3,67,0,"01110.jpg",2,2,0,1,1,5100,2364,3,3.5,2.5,1.5,0.88
1,2,1,3,68,0,"10110.jpg",4,4,1,1,1,5200,2959,3,3.5,2.5,1.5,0.84
1,2,1,3,69,0,"10001.jpg",1,1,0,0,1,5300,2687,3,3.5,2.5,1.5,0.84
1,2,1,3,70,0,"00110.jpg",2,2,0,1,1,5400,2269,3,3.5,2.5,1.5,0.88
1,2,1,3,71,0,"10001.jpg",1,1,0,0,1,5500,2363,3,3.5,2.5,1.5,0.84
1,2,1,3,72,0,"01010.jpg",2,2,0,1,1,5600,2669,3,3.5,2.5,1.5,0.84
1,2,1,3,73,0,"01110.jpg",2,2,0,1,1,5700,1499,3,3.5,2.5,1.5,0.88
1,2,1,3,74,0,"10001.jpg",1,1,0,0,1,5800,3056,3,3.5,2.5,1.5,0.92
1,2,1,3,75,0,"11011.jpg",2,2,0,1,1,5900,2726,3,3.5,2.5,1.5,0.96
1,2,1,3,76,0,"00010.jpg",2,2,0,1,1,6000,2707,3,3.5,2.5,1.5,0.88
1,2,1,3,77,0,"00011.jpg",2,2,0,1,1,6100,1664,3,3.5,2.5,1.5,0.88
1,2,1,3,78,0,"00101.jpg",1,1,0,0,1,6200,2709,3,3.5,2.5,1.5,0.88
1,2,1,3,79,0,"00110.jpg",2,2,0,1,1,6300,1610,3,3.5,2.5,1.5,0.88
1,2,1,3,80,0,"00111.jpg",2,2,0,1,1,6400,1714,3,3.5,2.5,1.5,0.96
1,2,1,3,81,0,"11001.jpg",1,1,0,0,1,6500,2694,3,3.5,2.5,1.5,0.76
1,2,1,3,82,0,"10111.jpg",4,4,1,1,1,6600,3803,3,3.5,2.5,1.5,0.96
1,2,1,3,83,0,"00001.jpg",1,1,0,0,1,6700,1980,3,3.5,2.5,1.5,0.96
1,2,1,3,84,0,"01100.jpg",1,1,0,0,1,6800,2461,3,3.5,2.5,1.5,0.88
1,2,1,3,85,0,"00100.jpg",1,1,0,0,1,6900,3683,3,3.5,2.5,1.5,0.84
1,2,1,3,86,0,"01111.jpg",2,2,0,1,1,7000,3762,3,3.5,2.5,1.5,0.96
1,2,1,3,87,0,"10100.jpg",3,3,1,0,1,7100,6251,3,3.5,2.5,1.5,0.92
1,2,1,3,88,0,"00001.jpg",1,1,0,0,1,7200,2668,3,3.5,2.5,1.5,1
1,2,1,3,89,0,"00111.jpg",2,2,0,1,1,7300,3801,3,3.5,2.5,1.5,0.88
1,2,1,3,90,0,"01001.jpg",1,1,0,0,1,7400,1978,3,3.5,2.5,1.5,0.92
1,2,1,3,91,0,"10010.jpg",2,2,0,1,1,7500,3197,3,3.5,2.5,1.5,0.84
1,2,1,3,92,0,"11111.jpg",4,4,1,1,1,7600,2860,3,3.5,2.5,1.5,0.92
1,2,1,3,93,0,"00101.jpg",1,1,0,0,1,7700,2274,3,3.5,2.5,1.5,0.84
1,2,1,3,94,0,"11000.jpg",1,1,0,0,1,7800,3215,3,3.5,2.5,1.5,0.92
1,2,1,3,95,0,"11111.jpg",4,4,1,1,1,7900,3432,3,3.5,2.5,1.5,0.92
1,2,1,3,96,0,"10111.jpg",4,4,1,1,1,8000,3400,3,3.5,2.5,1.5,0.92
1,2,1,0,97,1,"10101pt.jpg",3,4,1,0,0,8000,8896,3,3.5,2.5,1.5,0.52
1,2,1,0,98,1,"11011pt.jpg",2,1,0,1,0,8000,16627,3,3.5,2.5,1.5,0.68
1,2,1,0,99,1,"00111pt.jpg",2,1,0,1,0,8000,28175,3,3.5,2.5,1.5,0.52
